#SampleID	Dataset	FullName	Site	Condition
COP-BOC-1	37	Copacabana-BOC-1	Reunion	BOC
COP-BOC-2	38	Copacabana-BOC-2	Reunion	BOC
COP-BOC-3	39	Copacabana-BOC-3	Reunion	BOC
COP-SOU-1	40	Copacabana-SOU-1	Reunion	SOU
COP-SOU-2	41	Copacabana-SOU-2	Reunion	SOU
COP-SOU-3	42	Copacabana-SOU-3	Reunion	SOU
COP-SUR-1	43	Copacabana-SUR-1	Reunion	SUR
COP-SUR-2	44	Copacabana-SUR-2	Reunion	SUR
COP-SUR-3	45	Copacabana-SUR-3	Reunion	SUR
LIV-BOC-1	46	Livingstone-BOC-1	Reunion	BOC
LIV-BOC-2	47	Livingstone-BOC-2	Reunion	BOC
LIV-BOC-3	48	Livingstone-BOC-3	Reunion	BOC
LIV-SOU-1	49	Livingstone-SOU-1	Reunion	SOU
LIV-SOU-2	50	Livingstone-SOU-2	Reunion	SOU
LIV-SOU-3	51	Livingstone-SOU-3	Reunion	SOU
LIV-SUR-1	52	Livingstone-SUR-1	Reunion	SUR
LIV-SUR-2	53	Livingstone-SUR-2	Reunion	SUR
LIV-SUR-3	54	Livingstone-SUR-3	Reunion	SUR
TOB-BOC-1	55	Toboggan-BOC-1	Reunion	BOC
TOB-BOC-2	56	Toboggan-BOC-2	Reunion	BOC
TOB-BOC-3	57	Toboggan-BOC-3	Reunion	BOC
TOB-SOU-1	58	Toboggan-SOU-1	Reunion	SOU
TOB-SOU-2	59	Toboggan-SOU-2	Reunion	SOU
TOB-SOU-3	60	Toboggan-SOU-3	Reunion	SOU
TOB-SUR-1	61	Toboggan-SUR-1	Reunion	SUR
TOB-SUR-2	62	Toboggan-SUR-2	Reunion	SUR
TOB-SUR-3	63	Toboggan-SUR-3	Reunion	SUR
