#SampleID	Dataset	FullName	Site	Condition
COP-SUR-1	1	COP-SUR-1	Reunion	SUR
COP-SUR-2	2	COP-SUR-2	Reunion	SUR
COP-SUR-3	3	COP-SUR-3	Reunion	SUR
COP-BOC-1	4	COP-BOC-1	Reunion	BOC
COP-BOC-2	5	COP-BOC-2	Reunion	BOC
COP-BOC-3	6	COP-BOC-3	Reunion	BOC
COP-SOU-1	7	COP-SOU-1	Reunion	SOU
COP-SOU-2	8	COP-SOU-2	Reunion	SOU
COP-SOU-3	9	COP-SOU-3	Reunion	SOU
LIV-SOU-1	10	LIV-SOU-1	Reunion	SOU
LIV-SOU-2	11	LIV-SOU-2	Reunion	SOU
LIV-SOU-3	12	LIV-SOU-3	Reunion	SOU
LIV-BOC-1	13	LIV-BOC-1	Reunion	BOC
LIV-BOC-2	14	LIV-BOC-2	Reunion	BOC
LIV-BOC-3	15	LIV-BOC-3	Reunion	BOC
LIV-SUR-1	16	LIV-SUR-1	Reunion	SUR
LIV-SUR-2	17	LIV-SUR-2	Reunion	SUR
LIV-SUR-3	18	LIV-SUR-3	Reunion	SUR
TOB-SUR-1	19	TOB-SUR-1	Reunion	SUR
TOB-SUR-2	20	TOB-SUR-2	Reunion	SUR
TOB-SUR-3	21	TOB-SUR-3	Reunion	SUR
TOB-BOC-1	22	TOB-BOC-1	Reunion	BOC
TOB-BOC-2	23	TOB-BOC-2	Reunion	BOC
TOB-BOC-3	24	TOB-BOC-3	Reunion	BOC
TOB-SOU-1	25	TOB-SOU-1	Reunion	SOU
TOB-SOU-2	26	TOB-SOU-2	Reunion	SOU
TOB-SOU-3	27	TOB-SOU-3	Reunion	SOU
